TYPE,SCOPE,NAME,DESCRIPTION,,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsGasPrsLo3Pct,,,BmsAiPct[8],BMSAIPCT[8],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsIaPrs1Pct,,,BmsAiPct[12],BMSAIPCT[12],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsIaPrs2Pct,,,BmsAiPct[13],BMSAIPCT[13],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsIaPrs3Pct,,,BmsAiPct[14],BMSAIPCT[14],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsLastScan,,,BmsRealOut[0],BMSREALOUT[0],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsMaxScan,,,BmsRealOut[1],BMSREALOUT[1],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsStmPrs1Pct,,,BmsAiPct[0],BMSAIPCT[0],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsStmPrs2Pct,,,BmsAiPct[1],BMSAIPCT[1],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BmsStmPrs3Pct,,,BmsAiPct[2],BMSAIPCT[2],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegPrs,,,AiEu[63],AIEU[63],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegPrsAct,,,StatBits[73].15,STATBITS[73].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BrnRegPrsMax,,,AiSclMax[63],AISCLMAX[63],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegPrsMin,,,AiSclMin[63],AISCLMIN[63],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegPrsPct,,,AiPct[63],AIPCT[63],"(RADIX := Float, ExternalAccess := Read/Write)"
ALIAS,,BrnRegPrsRng,,,AiRng[63],AIRNG[63],"(RADIX := Float, ExternalAccess := Read/Write)"
