GroupName,Specifier,ItemName,ItemPath,DataType,ReadOnly,Reserved,UpdateRate,Reserved,Value,Quality,Timestamp,
Group0,BMSAIRNG[2],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[2].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[20],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[20].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[21],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[21].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[22],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[22].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[23],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[23].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[24],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[24].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[25],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[25].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[26],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[26].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[27],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[27].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[28],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[28].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[29],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[29].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[3],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[3].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[30],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[30].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[31],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[31].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[32],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[32].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[33],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[33].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[34],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[34].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[35],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[35].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[36],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[36].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[37],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[37].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[38],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[38].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
Group0,BMSAIRNG[39],ALLEN BRADLEY VIA ETHERNET/IP:FYRMONITORBMS:REAL:BMSAIRNG[39].VALUE, ,4,0,0,1000,0,,"Bad, non-specific",01/01/1601 12:00:00.000 AM,Single Float
