TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,Specifier,ATTRIBUTES
ALIAS,,BmsDiS6B05,,,BmsStatBits[126].5,BMSSTATBITS[126].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B06,,,BmsStatBits[126].6,BMSSTATBITS[126].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B07,,,BmsStatBits[126].7,BMSSTATBITS[126].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B08,,,BmsStatBits[126].8,BMSSTATBITS[126].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B09,,,BmsStatBits[126].9,BMSSTATBITS[126].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B10,,,BmsStatBits[126].10,BMSSTATBITS[126].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B11,,,BmsStatBits[126].11,BMSSTATBITS[126].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B12,,,BmsStatBits[126].12,BMSSTATBITS[126].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B13,,,BmsStatBits[126].13,BMSSTATBITS[126].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B14,,,BmsStatBits[126].14,BMSSTATBITS[126].14,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS6B15,,,BmsStatBits[126].15,BMSSTATBITS[126].15,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7,,,BmsStatBits[127],BMSSTATBITS[127],"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B00,,,BmsStatBits[127].0,BMSSTATBITS[127].0,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B01,,,BmsStatBits[127].1,BMSSTATBITS[127].1,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B02,,,BmsStatBits[127].2,BMSSTATBITS[127].2,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B03,,,BmsStatBits[127].3,BMSSTATBITS[127].3,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B04,,,BmsStatBits[127].4,BMSSTATBITS[127].4,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B05,,,BmsStatBits[127].5,BMSSTATBITS[127].5,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B06,,,BmsStatBits[127].6,BMSSTATBITS[127].6,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B07,,,BmsStatBits[127].7,BMSSTATBITS[127].7,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B08,,,BmsStatBits[127].8,BMSSTATBITS[127].8,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B09,,,BmsStatBits[127].9,BMSSTATBITS[127].9,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B10,,,BmsStatBits[127].10,BMSSTATBITS[127].10,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B11,,,BmsStatBits[127].11,BMSSTATBITS[127].11,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B12,,,BmsStatBits[127].12,BMSSTATBITS[127].12,"(RADIX := Decimal, ExternalAccess := Read/Write)"
ALIAS,,BmsDiS7B13,,,BmsStatBits[127].13,BMSSTATBITS[127].13,"(RADIX := Decimal, ExternalAccess := Read/Write)"
